2025-09-02 00:01:22,302 - ProximalAdaGrad: lam=80, alpha=3e-05, eps=1e-08, rho=1.0, n_grid=200, basis_order=0, n_samples=3200, K=3201
2025-09-02 00:01:27,751 - Iter 460: obj=-4528.868814, change=2.29e-04, α=0.000, ‖θ[1:]‖₁=9.082, h_range=[8.69e+00, 2.83e+01], num_knots=630
2025-09-02 00:01:27,860 - Iter 470: obj=-4529.579392, change=2.12e-04, α=0.000, ‖θ[1:]‖₁=9.089, h_range=[8.68e+00, 2.83e+01], num_knots=625
2025-09-02 00:01:27,965 - Iter 480: obj=-4530.268137, change=2.32e-04, α=0.000, ‖θ[1:]‖₁=9.095, h_range=[8.67e+00, 2.83e+01], num_knots=617
2025-09-02 00:01:28,080 - Iter 490: obj=-4530.931503, change=1.93e-04, α=0.000, ‖θ[1:]‖₁=9.102, h_range=[8.66e+00, 2.83e+01], num_knots=614
2025-09-02 00:01:28,295 - Iter 500: obj=-4531.575017, change=1.93e-04, α=0.000, ‖θ[1:]‖₁=9.108, h_range=[8.65e+00, 2.83e+01], num_knots=611
2025-09-02 00:01:28,453 - Iter 510: obj=-4532.197822, change=2.07e-04, α=0.000, ‖θ[1:]‖₁=9.114, h_range=[8.64e+00, 2.83e+01], num_knots=608
2025-09-02 00:01:28,566 - Iter 520: obj=-4532.801120, change=2.16e-04, α=0.000, ‖θ[1:]‖₁=9.120, h_range=[8.63e+00, 2.83e+01], num_knots=601
2025-09-02 00:01:28,647 - Iter 530: obj=-4533.384320, change=2.33e-04, α=0.000, ‖θ[1:]‖₁=9.125, h_range=[8.62e+00, 2.83e+01], num_knots=597
2025-09-02 00:01:28,738 - Iter 540: obj=-4533.946304, change=2.12e-04, α=0.000, ‖θ[1:]‖₁=9.131, h_range=[8.62e+00, 2.83e+01], num_knots=591
2025-09-02 00:01:28,824 - Iter 550: obj=-4534.491193, change=1.72e-04, α=0.000, ‖θ[1:]‖₁=9.136, h_range=[8.61e+00, 2.83e+01], num_knots=589
2025-09-02 00:01:28,916 - Iter 560: obj=-4535.022601, change=1.59e-04, α=0.000, ‖θ[1:]‖₁=9.142, h_range=[8.60e+00, 2.83e+01], num_knots=585
2025-09-02 00:01:29,010 - Iter 570: obj=-4535.541497, change=1.61e-04, α=0.000, ‖θ[1:]‖₁=9.146, h_range=[8.59e+00, 2.83e+01], num_knots=581
2025-09-02 00:01:29,113 - Iter 580: obj=-4536.040862, change=2.03e-04, α=0.000, ‖θ[1:]‖₁=9.152, h_range=[8.58e+00, 2.83e+01], num_knots=575
2025-09-02 00:01:29,185 - Iter 590: obj=-4536.522697, change=1.76e-04, α=0.000, ‖θ[1:]‖₁=9.157, h_range=[8.58e+00, 2.83e+01], num_knots=571
2025-09-02 00:01:29,287 - Iter 600: obj=-4536.989766, change=1.53e-04, α=0.000, ‖θ[1:]‖₁=9.162, h_range=[8.57e+00, 2.83e+01], num_knots=566
2025-09-02 00:01:29,397 - Iter 610: obj=-4537.446927, change=1.35e-04, α=0.000, ‖θ[1:]‖₁=9.166, h_range=[8.56e+00, 2.83e+01], num_knots=566
2025-09-02 00:01:29,490 - Iter 620: obj=-4537.893250, change=1.47e-04, α=0.000, ‖θ[1:]‖₁=9.171, h_range=[8.56e+00, 2.83e+01], num_knots=561
2025-09-02 00:01:29,595 - Iter 630: obj=-4538.323090, change=1.63e-04, α=0.000, ‖θ[1:]‖₁=9.176, h_range=[8.55e+00, 2.83e+01], num_knots=556
2025-09-02 00:01:29,707 - Iter 640: obj=-4538.741096, change=1.58e-04, α=0.000, ‖θ[1:]‖₁=9.180, h_range=[8.55e+00, 2.83e+01], num_knots=551
2025-09-02 00:01:29,812 - Iter 650: obj=-4539.147669, change=1.42e-04, α=0.000, ‖θ[1:]‖₁=9.184, h_range=[8.54e+00, 2.83e+01], num_knots=549
