2025-09-06 12:57:02,749 - ProximalAdaGrad: lam=30, alpha=1e-05, eps=1e-08, rho=1.0, n_grid=200, basis_order=0, n_samples=3200, K=3201
2025-09-06 12:57:07,996 - Iter 490: obj=-1023.403607, change=5.53e-04, α=0.000, ‖θ[1:]‖₁=11.543, h_range=[5.87e+00, 2.83e+01], num_knots=1989
2025-09-06 12:57:08,084 - Iter 500: obj=-1024.451648, change=5.30e-04, α=0.000, ‖θ[1:]‖₁=11.567, h_range=[5.85e+00, 2.83e+01], num_knots=1982
2025-09-06 12:57:08,169 - Iter 510: obj=-1025.469806, change=5.33e-04, α=0.000, ‖θ[1:]‖₁=11.590, h_range=[5.84e+00, 2.83e+01], num_knots=1973
2025-09-06 12:57:08,272 - Iter 520: obj=-1026.455128, change=5.16e-04, α=0.000, ‖θ[1:]‖₁=11.612, h_range=[5.83e+00, 2.83e+01], num_knots=1966
2025-09-06 12:57:08,347 - Iter 530: obj=-1027.414598, change=4.96e-04, α=0.000, ‖θ[1:]‖₁=11.634, h_range=[5.82e+00, 2.83e+01], num_knots=1952
2025-09-06 12:57:08,425 - Iter 540: obj=-1028.347263, change=4.82e-04, α=0.000, ‖θ[1:]‖₁=11.656, h_range=[5.80e+00, 2.83e+01], num_knots=1944
2025-09-06 12:57:08,535 - Iter 550: obj=-1029.250699, change=4.85e-04, α=0.000, ‖θ[1:]‖₁=11.677, h_range=[5.79e+00, 2.83e+01], num_knots=1934
2025-09-06 12:57:08,620 - Iter 560: obj=-1030.130258, change=4.56e-04, α=0.000, ‖θ[1:]‖₁=11.698, h_range=[5.78e+00, 2.83e+01], num_knots=1928
2025-09-06 12:57:08,703 - Iter 570: obj=-1030.986989, change=4.58e-04, α=0.000, ‖θ[1:]‖₁=11.718, h_range=[5.77e+00, 2.83e+01], num_knots=1917
2025-09-06 12:57:08,803 - Iter 580: obj=-1031.816628, change=4.49e-04, α=0.000, ‖θ[1:]‖₁=11.738, h_range=[5.76e+00, 2.83e+01], num_knots=1908
2025-09-06 12:57:08,889 - Iter 590: obj=-1032.625121, change=4.36e-04, α=0.000, ‖θ[1:]‖₁=11.757, h_range=[5.75e+00, 2.83e+01], num_knots=1897
2025-09-06 12:57:08,971 - Iter 600: obj=-1033.412274, change=4.33e-04, α=0.000, ‖θ[1:]‖₁=11.776, h_range=[5.74e+00, 2.83e+01], num_knots=1888
2025-09-06 12:57:09,056 - Iter 610: obj=-1034.178085, change=4.26e-04, α=0.000, ‖θ[1:]‖₁=11.795, h_range=[5.73e+00, 2.83e+01], num_knots=1882
2025-09-06 12:57:09,150 - Iter 620: obj=-1034.923399, change=4.05e-04, α=0.000, ‖θ[1:]‖₁=11.814, h_range=[5.72e+00, 2.83e+01], num_knots=1874
2025-09-06 12:57:09,244 - Iter 630: obj=-1035.652324, change=3.93e-04, α=0.000, ‖θ[1:]‖₁=11.832, h_range=[5.71e+00, 2.83e+01], num_knots=1870
