DGP,Sample Size,Num Simulations,Median Max Deviation,Mean Max Deviation,Std Max Deviation,25th Percentile,75th Percentile
TruncatedNormal,3200,1000,0.08952604592016522,0.12310614185988832,0.1036297795269062,0.05833743921447693,0.14607011355561555
TruncatedGMMSymmetricThree,25,1000,1.8403610040923617,2.3361496462455227,2.8640533026541797,1.4753972649335476,2.492063515680527
TruncatedGMMSymmetricThree,50,1000,1.3573760259611976,1.5971223857182595,0.918534930910379,1.0451192254065602,1.8811522168159747
TruncatedGMMSymmetricThree,100,1000,1.0017573385538237,1.125916321591162,0.5472335076318388,0.7609995390185617,1.3222011406346619
TruncatedGMMSymmetricThree,200,1000,0.7550000523650562,0.8301279840464283,0.36192713662185355,0.5826499007825234,0.9895320250672818
TruncatedGMMSymmetricThree,400,1000,0.5428770607903742,0.60442170620441,0.2705085278889655,0.4111160683146594,0.7365508023249929
TruncatedGMMSymmetricThree,800,1000,0.40692272710280697,0.43928824839245795,0.18833298329160847,0.3116776604074367,0.5199386778035022
TruncatedGMMSymmetricThree,1600,1000,0.30597833605326663,0.33367668936496336,0.1545591126699945,0.23873430834726903,0.3944367728594639
TruncatedGMMSymmetricThree,3200,1000,0.2292563912387059,0.25202068306236475,0.10346206410797064,0.17828502169851904,0.30378512719338235
TruncatedGMMAsymmetricThree,25,1000,1.7455138042207183,2.033994008127706,1.9608211671416775,1.3184601698249419,2.139701794944941
TruncatedGMMAsymmetricThree,50,1000,1.2664963685748463,1.5220176786914226,1.3613772472394539,0.9354506868053002,1.7585567393563382
TruncatedGMMAsymmetricThree,100,1000,0.909136219891107,1.0626615428902528,1.1797085526568627,0.6842936099341589,1.2235374959535186
TruncatedGMMAsymmetricThree,200,1000,0.6831776291550986,0.7555617587149672,0.4360895663152915,0.527620184561358,0.8801018296663126
TruncatedGMMAsymmetricThree,400,1000,0.4929938422345137,0.5430750116491029,0.24040376912366654,0.3740055549670772,0.6592113357301109
TruncatedGMMAsymmetricThree,800,1000,0.3504005785731348,0.38708950599995173,0.15986813782562598,0.27351924795869365,0.4657303778628388
TruncatedGMMAsymmetricThree,1600,1000,0.26653058537259233,0.29086699833515745,0.12307888912305555,0.20016884544739194,0.3551972523864279
TruncatedGMMAsymmetricThree,3200,1000,0.19311215764637712,0.21582191690159966,0.09078334177989404,0.15196153502682375,0.2617104968096421
TruncatedGMMFiveSpikes,25,1000,4.897443452412789,5.3877382546830965,2.393176881144892,4.305194743790408,5.679864074001744
TruncatedGMMFiveSpikes,50,1000,4.467973052357909,4.7124354747710315,1.117349428769443,4.073871252833424,5.043367180367144
TruncatedGMMFiveSpikes,100,1000,4.140642352810914,4.2660618125620235,0.8164448420791606,3.8508835056227717,4.525014309398006
TruncatedGMMFiveSpikes,200,1000,3.88399888495616,3.8372868351758087,0.7986727732798485,3.3792786842389955,4.183784505323603
TruncatedGMMFiveSpikes,400,1000,3.004457225457128,3.0140515401018457,0.8106288217390422,2.4375188417757108,3.582865632829371
TruncatedGMMFiveSpikes,800,1000,2.0218789607316436,2.1014332479718436,0.6015055478530845,1.6567407577595374,2.4618839734080775
TruncatedGMMFiveSpikes,1600,1000,1.459675759190044,1.541326709609923,0.4919037565927223,1.181061001277522,1.7869729912054744
TruncatedGMMFiveSpikes,3200,1000,1.1015705403087588,1.1441883615376574,0.35478461524795946,0.8953047429064412,1.3355466270616287
